Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
75% Corpus,16,0.01,0.61,0.412513999,-8.293216029
75% Corpus,16,0.01,0.91,0.367329635,-8.306032005
75% Corpus,16,0.01,symmetric,0.280517899,-8.677272652
75% Corpus,16,0.31,0.01,0.264347807,-11.55483604
75% Corpus,16,0.31,0.31,0.374319619,-8.313372106
75% Corpus,16,0.31,0.61,0.37577987,-8.376585261
75% Corpus,16,0.31,0.91,0.419341626,-8.372412496
75% Corpus,16,0.31,symmetric,0.260427306,-8.746482167
75% Corpus,16,0.61,0.01,0.263966166,-11.63663
75% Corpus,16,0.61,0.31,0.371004513,-8.353969993
75% Corpus,16,0.61,0.61,0.387842271,-8.411394951
75% Corpus,16,0.61,0.91,0.396274193,-8.421789461
75% Corpus,16,0.61,symmetric,0.260450943,-8.779319783
75% Corpus,16,0.91,0.01,0.267702484,-12.0358788
75% Corpus,16,0.91,0.31,0.361653465,-8.38813867
75% Corpus,16,0.91,0.61,0.352636439,-8.44653955
75% Corpus,16,0.91,0.91,0.375776193,-8.464157089
75% Corpus,16,0.91,symmetric,0.260592163,-8.78138886
75% Corpus,16,symmetric,0.01,0.266750147,-11.42957323
75% Corpus,16,symmetric,0.31,0.373763214,-8.25012071
75% Corpus,16,symmetric,0.61,0.372880221,-8.298820665
75% Corpus,16,symmetric,0.91,0.418391965,-8.317383941
75% Corpus,16,symmetric,symmetric,0.267100932,-8.784203205
75% Corpus,16,asymmetric,0.01,0.26148302,-11.97899554
75% Corpus,16,asymmetric,0.31,0.372338054,-8.248120006
75% Corpus,16,asymmetric,0.61,0.412831449,-8.279668833
75% Corpus,16,asymmetric,0.91,0.412423909,-8.30507604
